id,full_name,first_name,middle_name,surname,gender,date_of_birth,date_of_death,place_of_origin,clan,subclan,father_name,mother_name,aliases,story,cultural_notes
32e41619-3ae0-49a5-83ef-0f64eecc70d3,Nanjala Khaemba Wamalwa,Nanjala,Khaemba,Wamalwa,male,1983-02-18,,Nambale,Bakhabi,,Wafula Ouma Wamalwa,Nasimiyu Akumu Walekhwa,"Nan-lwa, Mzee Nanjala",Nanjala Khaemba Wamalwa was born in Nambale and was raised by Wafula Ouma Wamalwa and Nasimiyu Akumu Walekhwa.,"{'totem': 'Elephant', 'saying': 'Omwana ni wa jamii'}"
693026a2-0b48-4fe1-95d4-c19f0619bbd2,Achieng Were Mukele,Achieng,Were,Mukele,male,1986-10-08,,Funyula,Bakhabi,Abalukhi,Nanjala Musimbi Njiru,Nasimiyu Akumu Walekhwa,"Ach-ele, Mzee Achieng",Achieng Were Mukele was born in Nambale and was raised by Nanjala Musimbi Njiru and Nasimiyu Akumu Walekhwa.,"{'totem': 'Elephant', 'saying': 'Omukasa abere omwoyo'}"
f81b5040-3ecf-497e-a8f7-46f15757665f,Makokha Akumu Wanyonyi,Makokha,Akumu,Wanyonyi,female,1963-06-22,2025-05-31,Funyula,Bakhabi,Abachoni,Wafula Ouma Wamalwa,Nasimiyu Akumu Walekhwa,"Ma Wanyonyi, Aunty Makokha",Makokha Akumu Wanyonyi was born in Nambale and was raised by Wafula Ouma Wamalwa and Nasimiyu Akumu Walekhwa.,"{'totem': 'Leopard', 'saying': 'Omukasa abere omwoyo'}"
768146ed-f7d8-4aed-a2ee-16375ffe0f54,Wabomba  Nangila,Wabomba,,Nangila,male,1968-08-18,,Nambale,Bakangala,,Wafula Ouma Wamalwa,Nasimiyu Akumu Walekhwa,"Wab-ila, Mzee Wabomba",Wabomba  Nangila was born in Nambale and was raised by Wafula Ouma Wamalwa and Nasimiyu Akumu Walekhwa.,"{'totem': 'Buffalo', 'saying': 'Amalako gafwa na be'}"
c03ae309-3ad8-497b-a141-de4182fb2dad,Nanjala  Wanyonyi,Nanjala,,Wanyonyi,male,1950-07-25,,Butula,Bakangala,,Barasa Mutoro Wasike,Makokha Musimbi Walekhwa,"Nan-nyi, Mzee Nanjala",Nanjala  Wanyonyi was born in Butula and was raised by Barasa Mutoro Wasike and Makokha Musimbi Walekhwa.,"{'totem': 'Leopard', 'saying': 'Omwana ni wa jamii'}"
e82378b0-2897-4cda-afc1-89bd93f1ec1e,Wabomba Musimbi Wasike,Wabomba,Musimbi,Wasike,male,1959-11-08,,Nambale,Bamarachi,Abakolwe,Barasa Mutoro Wasike,Makokha Musimbi Walekhwa,"Wab-ike, Mzee Wabomba",Wabomba Musimbi Wasike was born in Butula and was raised by Barasa Mutoro Wasike and Makokha Musimbi Walekhwa.,"{'totem': 'Antelope', 'saying': 'Omwana ni wa jamii'}"
a0d5c22f-1c17-437f-b7e9-03cd7377b339,Okoth  Lutali,Okoth,,Lutali,male,1974-12-03,2039-03-28,Nambale,Bakhabi,Abalukhi,Wafula Ouma Wamalwa,Nasimiyu Akumu Walekhwa,"Oko-ali, Mzee Okoth",Okoth  Lutali was born in Matayos and was raised by Wafula Ouma Wamalwa and Nasimiyu Akumu Walekhwa.,"{'totem': 'Buffalo', 'saying': 'Omukasa abere omwoyo'}"
4c145077-16a0-4a7f-a50c-a9c5b44a9d88,Namulanda  Onyango,Namulanda,,Onyango,female,1990-10-01,2053-06-26,Funyula,Bamarachi,Abachoni,Barasa Mutoro Wasike,Nasimiyu Akumu Walekhwa,"Ma Onyango, Aunty Namulanda",Namulanda  Onyango was born in Matayos and was raised by Barasa Mutoro Wasike and Nasimiyu Akumu Walekhwa.,"{'totem': 'Buffalo', 'saying': 'Omwana ni wa jamii'}"
491eb88b-9b99-46cb-a6bf-734488ab349f,Nanjala Akumu Wanyonyi,Nanjala,Akumu,Wanyonyi,female,1986-11-26,,Busia,Bamarachi,Abakolwe,Wafula Ouma Wamalwa,Nasimiyu Akumu Walekhwa,"Ma Wanyonyi, Aunty Nanjala",Nanjala Akumu Wanyonyi was born in Matayos and was raised by Wafula Ouma Wamalwa and Nasimiyu Akumu Walekhwa.,"{'totem': 'Antelope', 'saying': 'Obusuma bwewanga'}"
9db3a1ac-d2bf-4acd-90c7-f3663bf7d010,Makokha Musimbi Wamalwa,Makokha,Musimbi,Wamalwa,female,1952-11-13,,Funyula,Bakangala,Abakolwe,Barasa Mutoro Wasike,Makokha Musimbi Walekhwa,"Ma Wamalwa, Aunty Makokha",Makokha Musimbi Wamalwa was born in Funyula and was raised by Barasa Mutoro Wasike and Makokha Musimbi Walekhwa.,"{'totem': 'Elephant', 'saying': 'Omukasa abere omwoyo'}"
